HOME TEAM: UC San Diego	Time	Score	Margin	VISITORS: Cal State Monterey Bay
REBOUND (DEF) by SHOEMAKER, Michael	05:45			MISSED 3 PTR by Bejsovec,Matt
MISSED LAYUP by BROOKS, Joshua	05:35			BLOCK by Ducree,Julian
	05:33			REBOUND (DEF) by Bejsovec,Matt
FOUL by COX, Koree (P1T6)	05:23			MISSED FT SHOT by Covarrubias,Joe
REBOUND (DEF) by RICO, Ben	05:23			
MISSED LAYUP by SHOEMAKER, Michael	05:04			REBOUND (DEF) by Bejsovec,Matt
FOUL by RICO, Ben (P1T7)	04:58	62-36	H 26	GOOD! FT SHOT by Covarrubias,Joe
REBOUND (DEF) by (TEAM)	04:58			MISSED FT SHOT by Covarrubias,Joe
	04:58			SUB IN : Johnson,Jahvon
	04:58			SUB OUT: Covarrubias,Joe
MISSED 3 PTR by RICO, Ben	04:39			REBOUND (DEF) by Ducree,Julian
STEAL by SHOEMAKER, Michael	04:17			TURNOVR by Johnson,Jahvon
GOOD! LAYUP by EVERMAN, Scott [PNT]	04:05	64-36	H 28	
ASSIST by RICO, Ben	04:05			
FOUL by EVERMAN, Scott (P4T8)	03:52			
	03:52			TIMEOUT media
REBOUND (DEF) by EVERMAN, Scott	03:52			MISSED FT SHOT by Ducree,Julian
	03:52			SUB IN : Covarrubias,Joe
	03:52			SUB OUT: Johnson,Jahvon
MISSED JUMPER by COX, Koree	03:37			
REBOUND (OFF) by RICO, Ben	03:37			
TURNOVR by COX, Koree	03:26			
REBOUND (DEF) by COX, Koree	03:17			MISSED JUMPER by Polosky,Gregg
MISSED 3 PTR by EVERMAN, Scott	03:09			
REBOUND (OFF) by SHOEMAKER, Michael	03:09			
GOOD! LAYUP by SHOEMAKER, Michael [PNT]	03:05	66-36	H 30	
	02:53			TURNOVR by Covarrubias,Joe
MISSED 3 PTR by COX, Koree	02:43			REBOUND (DEF) by Polosky,Gregg
	02:27			MISSED 3 PTR by Covarrubias,Joe
	02:27			REBOUND (OFF) by Ducree,Julian
FOUL by EVERMAN, Scott (P5T9)	02:25	66-37	H 29	GOOD! FT SHOT by Ducree,Julian
	02:25	66-38	H 28	GOOD! FT SHOT by Ducree,Julian
SUB IN : HANSEN, Chris	02:25			
SUB OUT: EVERMAN, Scott	02:25			
MISSED FT SHOT by BROOKS, Joshua	02:20			FOUL by Covarrubias,Joe (P1T10)
REBOUND (OFF) by (DEADBALL)	02:20			
	02:20			TIMEOUT TEAM
GOOD! FT SHOT by BROOKS, Joshua	02:20	67-38	H 29	
	02:09			TURNOVR by Ducree,Julian
GOOD! JUMPER by BROOKS, Joshua [PNT]	01:57	69-38	H 31	
	01:35	69-41	H 28	GOOD! 3 PTR by Covarrubias,Joe
	01:19			FOUL by Polosky,Gregg (P4T11)
	01:19			TIMEOUT TEAM
MISSED FT SHOT by BROOKS, Joshua	01:19			
REBOUND (OFF) by (DEADBALL)	01:19			
MISSED FT SHOT by BROOKS, Joshua	01:19			REBOUND (DEF) by Ducree,Julian
	01:11			MISSED LAYUP by Covarrubias,Joe
	01:11			REBOUND (OFF) by Covarrubias,Joe
	01:05			TURNOVR by Covarrubias,Joe
STEAL by COX, Koree	01:04			
TURNOVR by COX, Koree	01:03			
REBOUND (DEF) by COX, Koree	01:00			MISSED 3 PTR by Ducree,Julian
GOOD! LAYUP by SHOEMAKER, Michael [FB/PNT]	00:54	71-41	H 30	
ASSIST by RICO, Ben	00:54			
REBOUND (DEF) by HANSEN, Chris	00:45			MISSED 3 PTR by Covarrubias,Joe
GOOD! 3 PTR by SHOEMAKER, Michael	00:20	74-41	H 33	
ASSIST by RICO, Ben	00:20			
REBOUND (DEF) by SHOEMAKER, Michael	00:08			MISSED LAYUP by Bejsovec,Matt
